Name,Location,Phone,Email,Website,Room Hire Information,Bookings Contact
Jericho St Barnabas Community Centre,"Canal Street Jericho Oxford OX2 6BQ. Oxford
UK
(51.7579477, -1.2693701)",01865 557902,admin@jerichocentre.org.uk,http://www.jerichocentre.org.uk/jcc,,Sue Pead (10am-12pm)
Jubilee 77 Community Centre,"Sorrel Road Blackbird Leys Oxford OX4 6SH. Oxford
UK
(51.723379611083935, -1.190069317817688)",01865 402070,blackbirdleyscommunitycentre@gmail.com,http://www.facebook.com/OxCityCommunity,"Jubilee Main Hall 
 <ul><li><strong>Capacity:</strong>&nbsp;100 Standing,&nbsp;60 Seated</li><li><strong>Facilities Include:&nbsp;</strong>Car Parking, Wifi, Tables and Chairs, Toilets, Servery, Cooker, Waiting Area, Microwave, Fridge and Kettle</li><li><strong>Deposit:&nbsp;</strong>&pound;100.00 Refundable as per the terms and conditions of the booking</li><li><strong>Hire Rate (Per Hour):&nbsp;</strong>&pound;15.00</li></ul>",Jayne Watson
Littlemore Community Centre,"Giles Road Littlemore Oxford OX4 4PL. Oxford
UK
(51.72099693170976, -1.2194555997848509)",01865 771764,LittlemoreCC@gmail.com,,,Solange Dale
North Oxford Community Centre,"Diamond Place Summertown Oxford OX2 7PD. Oxford
UK
(51.77606552005249, -1.2628859281539917)",01865 552295,info@northoxfordassociation.org.uk,http://www.northoxfordassociation.co.uk,,The Secretary
Northway Community Centre,"Maltfield Road Headington Oxford OX3 9RG. Oxford
UK
(51.77013046834618, -1.226048469543457)",01865 764273,Northwaycc@btconnect.com,http://www.northwaycommunitycentre.co.uk,,The Manager
Northway Sports Centre,"Dora Carr Close Maltfield Road Oxford OX3 9RG. Oxford
UK
(51.7704087, -1.224865)",01865 467050,Ccalliss@oxford.gov.uk,http://www.facebook.com/OxCityCommunity,"<ul><li><strong>Capacity: </strong>The size of one badminton court</li><li><strong>Facilities Include: </strong>Wooden floor surface with one badminton court marked out</li><li><strong>Availability:</strong> Monday to Friday: 9am - 4pm, Friday evenings</li><li><strong>Hire Rate (Per Hour):</strong> &pound;13.00 or &pound;10.83 per hour if booked for a minimum of 10 sessions</li></ul> 
 <p> </p>",Clive Calliss
Regal Community Centre,"Ridgefield Road Cowley Oxford OX4 3BY. Oxford
UK
(51.740729173483324, -1.2252062559127808)",01865 450292,regalcomm@btconnect.com,http://www.regalcommunitycentre.org.uk,,Ali Akkas
Risinghurst Community Centre,"Kiln Lane Risinghurst Oxford OX3 8ER. Oxford
UK
(51.758145127152346, -1.1912119388580322)",07887 893526,,,,Bookings administrato
Rose Hill Community Centre,"Carole's Way Rose Hill Oxford OX4 4HF Oxford
UK
(51.72544316915529, -1.233832240104675)",01865 749597,rhcc@oxford.gov.uk,https://www.oxford.gov.uk/info/20181/community_centres/440/rose_hill_community_centre,"<p>The new &pound;4m Rose Hill Community Centre and gym is about to open its doors so if you are looking for a new venue come and take a look around. </p> 
 <p><strong>Gym &nbsp;</strong></p>Our gym is open to all and offers great value to Rose Hill residents and beyond.&nbsp; 
 <p>With over thirty stations of cardio-vascular and resistance machines on offer we can also help you to tailor your very own personalised workout.&nbsp;</p> 
 <p><strong>Opening offers&nbsp;</strong></p> 
 <p>Be one of the first members to join the gym and you could save 25% off your first three months membership. Pop in for a tour or to find out more.&nbsp;</p> 
 <strong>Gym Memberships</strong> <strong>Membership</strong><strong>&nbsp;Adult</strong><strong>60+/Junior&nbsp;</strong><strong>&nbsp;Family</strong>&nbsp;Gym - monthly *&nbsp;&pound;23.00&nbsp;&pound;15.00&nbsp;&pound;60.00 <span>Gym - monthly&nbsp;</span>&nbsp; concession *#&nbsp;&pound;15.00&nbsp;&pound;10.00&nbsp;&pound;40.00 <span>Gym - monthly&nbsp;</span>&nbsp;corporate *&nbsp;&pound;20.70&nbsp;n/a&nbsp;&pound;54.00&nbsp;Gym - annual&nbsp;&pound;253.00&nbsp;&pound;165.00&nbsp;&nbsp;&pound;660.00&nbsp;&nbsp;Gym - annual &nbsp;concession#&nbsp;&pound;165.00&nbsp;&pound;110.00&nbsp;&nbsp;&pound;440.00&nbsp;&nbsp;Gym - annual &nbsp;corporate&nbsp;&pound;227.70&nbsp;n/a&nbsp;&pound;594.00&nbsp;Gym - pay &amp; go &nbsp;(card)&nbsp;&pound;2.80&nbsp;&pound;2.80/&pound;1&nbsp;n/a&nbsp;Replacement &nbsp;card&nbsp;&pound;5.00 &pound;5.00&nbsp;n/a 
 <p> </p> 
 <p> *&pound;1.00 additional admin fee if paid by cash</p> 
 <p> </p> 
 <p> </p> 
 <strong>Gym Activities</strong> <strong>Activity</strong> <strong>Standard </strong> <strong>Concession#&nbsp;</strong>&nbsp;Casual use -&nbsp;adult&nbsp;&pound;4.20 &nbsp;&nbsp;&pound;3.50&nbsp;Casual use&nbsp;- &nbsp;60+/Junior&nbsp;&pound;3.50&nbsp;&pound;2.50&nbsp;&nbsp;Induction -&nbsp;adult&nbsp;&pound;10.60 &nbsp;&pound;6.70&nbsp;&nbsp;Induction - 60+/Junior&nbsp;&pound;6.70&nbsp;&pound;5.30&nbsp;Programme - adult&nbsp;&pound;10.60&nbsp;&pound;6.70&nbsp;Programme - &nbsp;60+/Junior&nbsp;&pound;6.70&nbsp;&pound;5.30 
 <p> </p> 
 <p> # concession rates available to residents with a Rose Hill postcode  or&nbsp;residents of Oxford in receipt of means tested benefits.&nbsp;</p> 
 <p> </p> 
 <p> </p> 
 <p> </p> 
 <p><strong>Venue Hire</strong></p> 
 <p>We offer flexible venue hire for :</p> 
 <p> </p> 
 <ul><li>meetings</li><li>conferences</li><li>events</li><li>parties, family gatherings or celebrations</li><li>examinations</li><li>classes</li><li>away days</li></ul> 
 <p>The venue also includes:</p> 
 <p> </p> 
 <p> </p> 
 <ul><li>air conditioned rooms</li><li>audio visual facilities</li><li>wi-fi</li><li>photocopying facilities</li><li>catering and kitchen facilities</li><li>licensed bar</li></ul> 
 <p> </p> 
 <p> <strong>Norman Brown Halls</strong></p> 
 <p>Two first floor halls that can be opened up to create one large area.&nbsp;The space benefits from a servery from the tea point.</p> 
 <p><strong>Bill Buckingham Ball Room</strong></p> 
 <p>On the ground floor this large flexible space boasts a spring floor, suitable for classes too. The room has access to a licensed bar and servery making it an ideal venue for parties and conferences</p> 
 <p><strong>Break out area</strong></p> 
 <p>Whether you just want to have a chat or an area to support workshops of conferences the first floor breakout area is light and airy.&nbsp;</p> 
  
  
  
  
  
  
  
  
 Rose Hill Community Centre Room Hire&nbsp;Room&nbsp;Capacity (approx)Commercial RateCommunity Rate&nbsp;&nbsp;Bill Buckingham BallRoom  
     <p>210 seated (theatre)300 standing</p> 
    &nbsp;&pound;100&nbsp;&pound;25&nbsp;Norman Brown 1 
     <p>60 seated&nbsp;(theatre)80 standing </p> 
    &nbsp;&pound;40&nbsp;&pound;20&nbsp;Norman Brown 245 seated&nbsp;(theatre)70 standing &nbsp;&pound;30&nbsp;&pound;15&nbsp;Norman Brown &nbsp;1&amp;2120 seated&nbsp;(theatre)160 standing &nbsp;&pound;70&nbsp;&pound;35&nbsp;Kitchenn/a&nbsp;Please enquire&nbsp;Please enquire&nbsp;Tea Pointn/a&nbsp;&pound;5&nbsp;Free&nbsp;Aaron Buran Chill Out18&nbsp;seated&nbsp;<span>(theatre)</span>30 standing &nbsp;&pound;25&nbsp;&pound;10 Aaron Buran Youth Room&nbsp;70&nbsp;seated&nbsp;<span>(theatre) </span>90 standing  &pound;40 &pound;15 Aaron Buran Suite&nbsp;n/a&nbsp;&pound;70&nbsp;&pound;25&nbsp;Youth Kitchen&nbsp;n/a&nbsp;&nbsp;&pound;5&nbsp;Free 
 <p> </p> 
 <p> </p> 
  
  
  
  
  
 <p> <strong>Other activities</strong></p> 
 <p>&nbsp;Behind the new Community Centre lies Rose Hill Recreation Ground which boasts:</p> 
 <p> </p> 
 <ul><li>play area</li><li>zip wire</li><li>fitness trail&nbsp;</li><li>kickabout area</li><li>open grass area</li><li>training area&nbsp;</li></ul> 
 <p> </p> 
  
  
  
  
  
  
  
  
  
  
  As part of the new centre new equipment and tree planting will take place. Please bar with us whilst this is completed. In the meantime please use the fitness trail or take a wander through Rivermead Nature Park - a short walk from the centre.
 
 
 
 
 
 
 
 
 
  
  
   
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
 ",Duty Officer
South Oxford Community Centre,"Lake Street Oxford OX1 4RP. Oxford
UK
(51.73919781601074, -1.2564057111740112)",01865 242666,enquiries@southoxford.org,http://www.southoxford.org,,Debby Forbes
The Asian Cultural Centre,"Manzil Way Oxford OX4 1GH. Oxford
UK
(51.74789364247258, -1.230018138885498)",01865 425000,accoxford@hotmail.com,http://www.facebook.com/pages/Asian-Cultural-Centre/258420140871642,,Nazam Mahmood
West Oxford Community Centre,"Botley Road Oxford OX2 0DT. Oxford
UK
(51.75290842684388, -1.2751543521881104)",01865 245761,westoxfordcc@gmail.com,http://www.woca.org.uk,,Keith Birnie
Wood Farm Community Room,"Titup Hall Drive Oxford OX3 8QQ. Oxford
UK
(51.75257966002291, -1.2022948265075684)",01865 762575,,,,
